date, pm25, pm10, o3, no2, so2, co
2025/4/2, 59, 26, , 25, , 5
2025/4/3, 61, 26, , 23, , 6
2025/4/4, 52, 18, , 17, , 5
2025/4/5, 42, 12, , 14, , 4
2025/4/6, 35, , , , , 
2025/1/2, 68, 19, , 14, , 3
2025/1/3, 46, 17, , 13, , 2
2025/1/4, 46, 17, , 11, , 3
2025/1/5, 37, 14, , 9, , 2
2025/1/6, 46, 19, , 16, , 4
2025/1/7, 48, 23, , 18, , 4
2025/1/8, 57, 19, , 20, , 5
2025/1/9, 53, 18, , 17, 1, 5
2025/1/10, 47, 14, , 17, , 4
2025/1/11, 50, , , 16, 1, 4
2025/1/12, 53, 13, , 9, , 3
2025/1/13, 36, 14, , 14, , 4
2025/1/14, 41, 19, , 17, 1, 4
2025/1/15, 46, 24, , 18, 1, 4
2025/1/16, 81, 37, , 20, , 6
2025/1/29, 54, 20, , 26, , 8
2025/1/30, 61, 19, , 26, , 9
2025/2/1, 36, 15, , 21, , 6
2025/2/18, 61, 37, , 25, , 5
2025/2/19, 64, 26, , 29, , 6
2025/2/20, 45, 31, , 24, 1, 6
2025/2/21, 55, 31, , 24, , 6
2025/2/22, 69, 16, , 14, , 4
2025/2/23, 38, 17, , 12, , 3
2025/2/24, 41, 24, , 20, , 5
2025/2/25, 50, 32, , 27, , 7
2025/2/26, 59, 33, , 27, , 7
2025/2/27, 64, 40, , 28, 1, 7
2025/2/28, 68, 36, , 30, 1, 7
2025/3/1, 65, 28, , 22, , 5
2025/3/2, 56, 28, , 15, 1, 4
2025/3/3, 64, 28, , 19, 1, 3
2025/3/4, 59, 30, , 15, , 4
2025/3/5, 46, 27, , 21, 1, 4
2025/3/6, 57, 31, , 24, 1, 5
2025/3/7, 61, 23, , 20, 1, 5
2025/3/8, 44, 20, , 17, , 5
2025/3/9, 45, 27, , 13, , 5
2025/3/10, 58, 17, , 15, , 3
2025/3/11, 38, 25, , 24, , 6
2025/3/12, 52, 27, , 28, , 8
2025/3/13, 61, 25, , 27, , 6
2025/3/14, 56, 14, , 18, , 5
2025/3/15, 34, 14, , 15, , 4
2025/3/16, 38, 12, , 12, , 3
2025/3/17, 31, 18, , 21, , 5
2025/3/18, 42, 22, , 24, , 6
2025/3/19, 53, 12, , 16, , 4
2025/3/20, 35, 15, , 14, 1, 5
2025/3/21, 34, 20, , , , 5
2025/3/22, 44, 20, , , , 5
2025/3/23, 44, 12, , , , 5
2025/3/24, 40, 23, , , , 6
2025/3/25, 46, 28, , , , 6
2025/3/26, 63, 23, , , 1, 6
2025/3/27, 54, 29, , 25, 3, 6
2025/3/28, 50, 27, , 25, , 7
2025/3/29, 62, 25, , 28, , 7
2025/3/30, 62, 19, , 17, , 4
2025/3/31, 61, 26, , 24, 1, 6
2025/4/1, 46, 26, , 29, , 7
2024/10/8, 57, 24, , , , 
2024/10/9, 13, , , , , 
2024/11/1, 53, 23, , 19, , 6
2024/11/2, 58, 22, , 19, , 6
2024/11/3, 54, 18, , 20, , 7
2024/11/4, 58, 18, , 24, , 9
2024/11/5, 50, 24, , 25, , 8
2024/11/6, 58, 7, , 17, , 5
2024/11/7, 63, , , , , 
2024/11/9, 29, 11, , 15, , 6
2024/11/10, 36, 15, , 13, , 5
2024/11/11, 55, 22, , 24, , 6
2024/11/12, 53, 30, , 22, , 6
2024/11/13, 67, 13, , 19, , 6
2024/11/14, 43, 21, , 20, , 6
2024/11/15, 60, 14, , 14, , 4
2024/11/16, 54, 12, , 9, , 5
2024/11/17, 49, 11, , 8, , 4
2024/11/18, 38, 21, , 17, 1, 6
2024/11/19, 64, 20, , 16, , 6
2024/11/20, 56, 20, , 10, , 3
2024/11/21, 66, 12, , 13, , 5
2024/11/22, 34, 13, , 17, , 6
2024/11/23, 41, 10, , 10, , 4
2024/11/24, 41, 12, , 8, , 3
2024/11/25, 38, 21, , 16, , 4
2024/11/26, 41, 36, , , 1, 13
2024/11/29, 77, 31, , 25, , 6
2024/11/30, 51, 20, , 18, , 5
2024/12/1, 48, 19, , 15, , 4
2024/12/2, 56, 31, , 21, , 5
2024/12/3, 51, 16, , 19, , 5
2024/12/4, 39, 18, , 18, , 6
2024/12/5, 39, 30, , 24, , 7
2024/12/6, 48, 37, , 27, , 9
2024/12/7, 58, 31, , 20, , 6
2024/12/8, 62, 7, , 13, , 4
2024/12/9, 45, 31, , 23, , 7
2024/12/10, 53, 23, , 19, , 5
2024/12/11, 46, 11, , 19, , 5
2024/12/12, 38, , , 21, 1, 5
2024/12/13, 45, , , 26, , 6
2024/12/14, 60, , , 17, , 5
2024/12/15, 57, , , 9, , 3
2024/12/16, 42, , , 16, , 3
2024/12/17, 44, 24, , 19, , 4
2024/12/18, 48, 30, , 22, 1, 5
2024/12/19, 51, 28, , 24, , 6
2024/12/20, 56, 42, , 25, , 6
2024/12/21, 57, 19, , 22, , 7
2024/12/22, 52, 17, , 15, , 5
2024/12/23, 46, 10, , 15, , 5
2024/12/24, 31, 14, , 12, , 3
2024/12/25, 34, 13, , 10, , 3
2024/12/26, 43, 14, , 16, , 5
2024/12/27, 44, 18, , 19, , 6
2024/12/28, 42, 19, , 16, , 5
2024/12/29, 54, 12, , 12, , 3
2024/12/30, 43, , , , , 
2024/7/2, 74, 42, , 42, 1, 12
2024/7/3, 91, 64, , 37, 2, 15
2024/7/4, 117, 72, , 43, 3, 14
2024/7/5, 134, 70, , 42, 2, 15
2024/7/6, 125, 23, , 18, , 6
2024/7/7, 54, 30, , 18, , 6
2024/7/8, 67, 18, , 19, , 5
2024/7/9, 38, 12, , 18, , 6
2024/7/10, 36, 24, , 26, , 8
2024/7/11, 57, 51, , 35, 1, 13
2024/7/12, 94, 9, , 14, , 4
2024/7/13, 36, , , , , 
2024/7/16, 53, 30, , 25, , 6
2024/7/17, 66, 35, , 29, 1, 7
2024/7/18, 68, 41, , 24, 1, 8
2024/7/19, 85, 44, , 40, 1, 13
2024/7/20, 103, 45, , 30, , 8
2024/7/21, 104, 36, , 24, 1, 8
2024/7/22, 90, 47, , 27, 1, 9
2024/7/23, 107, 46, , 40, 1, 11
2024/7/24, 91, 56, , 40, 2, 10
2024/7/25, 99, 65, , 40, 2, 12
2024/7/26, 122, 70, , 48, 2, 14
2024/7/27, 125, 67, , 39, 1, 13
2024/7/28, 123, 58, , 25, 1, 11
